token,label,label_gpt
the,O,O
vWF,O,O
carboxyl,O,O
-,O,O
terminal,O,O
domain,O,O
containing,O,O
residues,O,O
1366,O,O
-,O,O
2050,O,O
.,O,O
Insect,O,O
cells,O,O
infected,O,O
with,O,O
recombinant,O,O
baculovirus,O,O
expressing,O,O
normal,O,O
vWF,O,B
sequence,O,O
secreted,O,O
a,O,O
disulfide,O,O
linked,O,O
dimeric,O,O
molecule,O,O
with,O,O
an,O,O
apparent,O,O
molecular,O,O
mass,O,O
of,O,O
150,O,O
kDa,O,O
before,O,O
reduction,O,O
",",O,O
yielding,O,O
a,O,O
single,O,O
band,O,O
of,O,O
80,O,O
kDa,O,O
after,O,O
disulfide,O,O
bond,O,O
reduction,O,O
.,O,O
In,O,O
contrast,O,O
",",O,O
cells,O,O
expressing,O,O
the,O,O
mutant,O,O
fragment,O,O
secreted,O,O
a,O,O
monomeric,O,O
molecule,O,O
of,O,O
apparent,O,O
molecular,O,O
mass,O,O
of,O,O
80,O,O
kDa,O,O
",",O,O
which,O,O
remained,O,O
unchanged,O,O
after,O,O
reduction,O,O
.,O,O
We,O,O
conclude,O,O
that,O,O
CyS2010,O,O
is,O,O
essential,O,O
for,O,O
normal,O,O
dimerization,O,O
of,O,O
vWF,O,B
subunits,O,I
through,O,O
disulfide,O,O
bonding,O,O
of,O,O
carboxyl,O,O
-,O,O
terminal,O,O
domains,O,O
and,O,O
that,O,O
a,O,O
heterozygous,O,O
mutation,O,O
in,O,O
the,O,O
corresponding,O,O
codon,O,O
is,O,O
responsible,O,O
for,O,O
defective,O,O
multimer,O,O
formation,O,O
in,O,O
type,B,O
IID,I,O
von,I,B
Willebrand,I,I
disease,I,I
.,O,O
.,O,O
Wiskott,B,B
-,I,I
Aldrich,I,I
syndrome,I,I
protein,O,O
",",O,O
a,O,O
novel,O,O
effector,O,O
for,O,O
the,O,O
GTPase,O,O
CDC42Hs,O,O
",",O,O
is,O,O
implicated,O,O
in,O,O
actin,O,O
polymerization,O,O
.,O,O
The,O,O
Rho,O,B
family,O,I
of,O,I
GTPases,O,I
control,O,O
diverse,O,O
biological,O,O
processes,O,O
",",O,O
including,O,O
cell,O,O
morphology,O,O
and,O,O
mitogenesis,O,O
.,O,O
We,O,O
have,O,O
identified,O,O
WASP,O,B
",",O,O
the,O,O
protein,O,O
that,O,O
is,O,O
defective,O,O
in,O,O
Wiskott,B,B
-,I,I
Aldrich,I,I
syndrome,I,I
(,O,O
WAS,B,B
),O,O
",",O,O
as,O,O
a,O,O
novel,O,O
effector,O,O
for,O,O
CDC42Hs,O,O
",",O,O
but,O,O
not,O,O
for,O,O
the,O,O
other,O,O
Rho,O,B
family,O,I
members,O,I
",",O,O
Rac,O,O
and,O,O
Rho,O,O
.,O,O
This,O,O
interaction,O,O
is,O,O
dependent,O,O
on,O,O
the,O,O
presence,O,O
of,O,O
the,O,O
G,O,B
protein,O,I
-,O,I
binding,O,I
domain,O,I
.,O,O
Cellular,O,O
expression,O,O
of,O,O
epitope,O,O
-,O,O
tagged,O,O
WASP,O,B
produces,O,O
clusters,O,O
of,O,O
WASP,O,B
that,O,O
are,O,O
highly,O,O
enriched,O,O
in,O,O
polymerized,O,O
actin,O,O
.,O,O
This,O,O
clustering,O,O
is,O,O
not,O,O
observed,O,O
with,O,O
a,O,O
C,O,B
-,O,I
terminally,O,I
deleted,O,I
WASP,O,I
and,O,O
is,O,O
inhibited,O,O
by,O,O
coexpression,O,O
with,O,O
dominant,O,O
negative,O,O
CDC42Hs,O,B
-,O,I
N17,O,I
",",O,O
but,O,O
not,O,O
with,O,O
dominant,O,O
negative,O,O
forms,O,O
of,O,O
Rac,O,O
or,O,O
Rho,O,O
.,O,O
Thus,O,O
",",O,O
WASP,O,B
provides,O,O
a,O,O
novel,O,O
link,O,O
between,O,O
CDC42Hs,O,B
and,O,O
the,O,O
actin,O,O
cytoskeleton,O,O
",",O,O
which,O,O
suggests,O,O
a,O,O
molecular,O,O
mechanism,O,O
for,O,O
many,O,O
of,O,O
the,O,O
cellular,O,O
abnormalities,O,O
in,O,O
WAS,B,B
.,O,O
The,O,O
WASP,O,B
sequence,O,O
contains,O,O
two,O,O
novel,O,O
domains,O,O
that,O,O
are,O,O
homologous,O,O
to,O,O
other,O,O
proteins,O,O
involved,O,O
in,O,O
action,O,O
organization,O,O
.,O,O
X,B,B
-,I,I
linked,I,I
adrenoleukodystrophy,I,I
is,O,O
a,O,O
frequent,O,O
cause,O,O
of,O,O
idiopathic,O,O
Addison,B,B
',I,I
s,I,I
disease,I,I
in,O,O
young,O,O
adult,O,O
male,O,O
patients,O,O
.,O,O
X,B,B
-,I,I
Linked,I,I
adrenoleukodystrophy,I,I
(,O,O
ALD,B,B
),O,O
is,O,O
a,O,O
genetic,B,O
disease,I,O
associated,O,O
with,O,O
demyelination,B,O
of,I,O
the,I,O
central,I,O
nervous,I,O
system,I,O
",",O,O
adrenal,B,O
insufficiency,I,O
",",O,O
and,O,O
accumulation,O,O
of,O,O
very,O,O
long,O,O
chain,O,O
fatty,O,O
acids,O,O
in,O,O
tissue,O,O
and,O,O
body,O,O
fluids,O,O
.,O,O
ALD,B,B
is,O,O
due,O,O
to,O,O
mutation,O,O
of,O,O
a,O,O
gene,O,O
located,O,O
in,O,O
Xq28,O,O
that,O,O
encodes,O,O
a,O,O
peroxisomal,O,O
transporter,O,O
protein,O,O
of,O,O
unknown,O,O
function,O,O
.,O,O
The,O,O
most,O,O
common,O,O
phenotype,O,O
of,O,O
ALD,B,B
is,O,O
the,O,O
cerebral,O,O
form,O,O
(,O,O
45,O,O
%,O,O
),O,O
that,O,O
develops,O,O
in,O,O
boys,O,O
between,O,O
5,O,O
-,O,O
12,O,O
yr,O,O
.,O,O
Adrenomyeloneuropathy,B,B
(,O,O
AMN,B,B
),O,O
involves,O,O
the,O,O
spinal,O,O
cord,O,O
and,O,O
peripheral,O,O
nerves,O,O
in,O,O
young,O,O
adults,O,O
(,O,O
35,O,O
%,O,O
),O,O
.,O,O
Adrenal,B,B
insufficiency,I,I
(,O,O
Addisons,B,B
disease,I,I
),O,O
is,O,O
frequently,O,O
associated,O,O
with,O,O
AMN,B,B
or,O,O
cerebral,B,O
ALD,I,B
and,O,O
may,O,O
remain,O,O
the,O,O
only,O,O
clinical,O,O
expression,O,O
of,O,O
ALD,B,B
(,O,O
8,O,O
%,O,O
of,O,O
cases,O,O
),O,O
.,O,O
The,O,O
prevalence,O,O
of,O,O
ALD,B,B
among,O,O
adults,O,O
with,O,O
Addisons,B,O
disease,I,O
remains,O,O
unknown,O,O
.,O,O
To,O,O
evaluate,O,O
this,O,O
prevalence,O,O
",",O,O
we,O,O
performed,O,O
biochemical,O,O
analysis,O,O
of,O,O
very,O,O
long,O,O
chain,O,O
fatty,O,O
acids,O,O
in,O,O
14,O,O
male,O,O
patients,O,O
(,O,O
age,O,O
ranging,O,O
from,O,O
12,O,O
-,O,O
45,O,O
yr,O,O
at,O,O
diagnosis,O,O
),O,O
previously,O,O
diagnosed,O,O
as,O,O
having,O,O
primary,O,O
idiopathic,O,O
adrenocortical,B,O
insufficiency,I,O
.,O,O
In,O,O
5,O,O
of,O,O
14,O,O
patients,O,O
(,O,O
35,O,O
%,O,O
),O,O
",",O,O
elevated,O,O
plasma,O,O
concentrations,O,O
of,O,O
very,O,O
long,O,O
chain,O,O
fatty,O,O
acids,O,O
were,O,O
detected,O,O
.,O,O
None,O,O
of,O,O
these,O,O
patients,O,O
had,O,O
adrenocortical,O,O
antibodies,O,O
.,O,O
By,O,O
electrophysiological,O,O
tests,O,O
and,O,O
magnetic,O,O
resonance,O,O
imaging,O,O
it,O,O
was,O,O
determined,O,O
that,O,O
two,O,O
patients,O,O
had,O,O
cerebral,B,O
ALD,I,O
",",O,O
one,O,O
had,O,O
adrenomyeloneuropathy,B,O
with,O,O
cerebral,O,O
involvement,O,O
",",O,O
and,O,O
two,O,O
had,O,O
preclinical,O,O
AMN,B,O
.,O,O
Our,O,O
data,O,O
support,O,O
the,O,O
hypothesis,O,O
that,O,O
ALD,B,B
is,O,O
a,O,O
frequent,O,O
cause,O,O
of,O,O
idiopathic,O,O
Addisons,B,B
disease,I,I
in,O,O
children,O,O
and,O,O
adults,O,O
.,O,O
Tumor,B,O
suppression,O,O
and,O,O
apoptosis,O,O
of,O,O
human,O,O
prostate,B,B
carcinoma,I,I
mediated,O,O
by,O,O
a,O,O
genetic,O,O
locus,O,O
within,O,O
human,O,O
chromosome,O,O
10pter,O,O
-,O,O
q11,O,O
.,O,O
Prostate,B,B
cancer,I,I
is,O,O
the,O,O
second,O,O
leading,O,O
cause,O,O
of,O,O
male,O,O
cancer,B,B
deaths,O,I
in,O,O
the,O,O
United,O,O
States,O,O
.,O,O
Yet,O,O
",",O,O
despite,O,O
a,O,O
large,O,O
international,O,O
effort,O,O
",",O,O
little,O,O
is,O,O
known,O,O
about,O,O
the,O,O
molecular,O,O
mechanisms,O,O
that,O,O
underlie,O,O
this,O,O
devastating,O,O
disease,O,O
.,O,O
Prostate,O,B
secretory,O,I
epithelial,O,I
cells,O,I
and,O,O
androgen,O,O
-,O,O
dependent,O,O
prostate,B,B
carcinomas,I,I
undergo,O,O
apoptosis,O,O
in,O,O
response,O,O
to,O,O
androgen,O,O
deprivation,O,O
and,O,O
",",O,O
furthermore,O,O
",",O,O
most,O,O
prostate,B,B
carcinomas,I,I
become,O,O
androgen,O,O
independent,O,O
and,O,O
refractory,O,O
to,O,O
further,O,O
therapeutic,O,O
manipulations,O,O
during,O,O
disease,O,O
progression,O,O
.,O,O
Definition,O,O
of,O,O
the,O,O
genetic,O,B
events,O,I
that,O,O
trigger,O,O
apoptosis,O,O
in,O,O
the,O,O
prostate,O,O
could,O,O
provide,O,O
important,O,O
insights,O,O
into,O,O
critical,O,O
pathways,O,O
in,O,O
normal,O,O
development,O,O
as,O,O
well,O,O
as,O,O
elucidate,O,O
the,O,O
perturbations,O,O
of,O,O
those,O,O
key,O,O
pathways,O,O
in,O,O
neoplastic,O,O
transformation,O,O
.,O,O
We,O,O
report,O,O
the,O,O
functional,O,O
definition,O,O
of,O,O
a,O,O
novel,O,O
genetic,O,B
locus,O,I
within,O,O
human,O,O
chromosome,O,O
10pter,O,O
-,O,O
q11,O,O
that,O,O
mediates,O,O
both,O,O
in,O,O
vivo,O,O
tumor,O,O
suppression,O,O
and,O,O
in,O,O
vitro,O,O
apoptosis,O,O
of,O,O
prostatic,B,O
adenocarcinoma,I,O
cells,O,O
.,O,O
A,O,O
defined,O,O
fragment,O,O
of,O,O
human,O,O
chromosome,O,O
10,O,B
was,O,O
transferred,O,O
via,O,O
microcell,O,O
fusion,O,O
into,O,O
a,O,O
prostate,B,O
adenocarcinoma,I,O
cell,O,O
line,O,O
.,O,O
Microcell,O,O
hybrids,O,O
containing,O,O
only,O,O
the,O,O
region,O,O
10pter,O,O
-,O,O
q11,O,O
were,O,O
suppressed,O,O
for,O,O
tumorigenicity,O,O
following,O,O
injection,O,O
of,O,O
microcell,O,O
hybrids,O,O
into,O,O
nude,O,O
mice,O,O
.,O,O
Furthermore,O,O
",",O,O
the,O,O
complemented,O,O
hybrids,O,O
