token,label
resuscitation,I
",",O
the,O
patient,O
recovered,O
cardiac,B
rhythm,I
.,O
The,O
ECG,O
showed,O
a,O
junctional,B
rhythm,O
without,O
ventricular,B
arrhythmia,I
.,O
This,O
study,O
reviews,O
the,O
current,O
proposed,O
mechanisms,O
of,O
sudden,O
death,B
after,O
a,O
high,O
dose,O
of,O
intravenous,O
methylprednisolone,B
(,O
IVMP,O
),O
.,O
These,O
mechanisms,O
are,O
not,O
well,O
understood,O
because,O
",",O
in,O
most,O
cases,O
",",O
the,O
patients,O
were,O
not,O
monitored,O
at,O
the,O
moment,O
of,O
the,O
event,O
.,O
Rapid,O
infusion,O
and,O
underlying,O
cardiac,B
disease,I
were,O
important,O
risk,O
factors,O
in,O
the,O
case,O
reported,O
here,O
",",O
and,O
the,O
authors,O
discount,O
ventricular,B
arrhythmia,I
as,O
the,O
main,O
mechanism,O
.,O
Worsening,O
of,O
levodopa,O
-,O
induced,O
dyskinesias,O
by,O
motor,O
and,O
mental,O
tasks,O
.,O
Ten,O
patients,O
who,O
had,O
Parkinson,B
',I
s,I
disease,I
with,O
disabling,O
dyskinesia,O
were,O
included,O
in,O
this,O
study,O
to,O
evaluate,O
the,O
role,O
of,O
mental,O
(,O
mental,O
calculation,O
),O
and,O
motor,O
(,O
flexion,O
/,O
extension,O
of,O
right,O
fingers,O
",",O
flexion,O
/,O
extension,O
of,O
left,O
fingers,O
",",O
flexion,O
/,O
extension,O
of,O
the,O
neck,O
",",O
speaking,O
aloud,O
),O
tasks,O
on,O
the,O
worsening,O
of,O
peak,O
-,O
dose,O
dyskinesia,O
following,O
administration,O
of,O
an,O
effective,O
single,O
dose,O
of,O
apomorphine,B
.,O
Compared,O
with,O
the,O
score,O
at,O
rest,O
(,O
1,O
.,O
3,O
+,O
/,O
-,O
0,O
.,O
3,O
),O
",",O
a,O
significant,O
aggravation,O
of,O
the,O
dyskinesia,B
score,O
was,O
observed,O
during,O
speaking,O
aloud,O
(,O
5,O
.,O
2,O
+,O
/,O
-,O
1,O
.,O
",",O
p,O
<,O
0,O
.,O
05,O
),O
",",O
movements,O
of,O
right,O
(,O
4,O
.,O
5,O
+,O
/,O
-,O
1,O
.,O
",",O
p,O
<,O
0,O
.,O
05,O
),O
",",O
and,O
left,O
(,O
3,O
.,O
7,O
+,O
/,O
-,O
0,O
.,O
",",O
p,O
<,O
0,O
.,O
05,O
),O
",",O
fingers,O
",",O
movements,O
of,O
the,O
neck,O
(,O
5,O
1,O
+,O
/,O
-,O
1,O
.,O
0,O
",",O
p,O
<,O
0,O
.,O
05,O
),O
",",O
and,O
mental,O
calculation,O
(,O
3,O
.,O
1,O
+,O
/,O
-,O
1,O
.,O
0,O
",",O
p,O
<,O
0,O
.,O
05,O
),O
.,O
These,O
results,O
suggest,O
that,O
activation,O
tasks,O
such,O
as,O
speaking,O
aloud,O
could,O
be,O
used,O
for,O
objective,O
assessment,O
of,O
dyskinesia,O
severity,O
.,O
Urine,O
N,O
-,O
acetyl,O
-,O
beta,O
-,O
D,O
-,O
glucosaminidase,O
-,O
-,O
a,O
marker,O
of,O
tubular,O
damage,O
?,O
BACKGROUND,O
:,O
Although,O
an,O
indicator,O
of,O
renal,O
tubular,O
dysfunction,O
",",O
an,O
increased,O
urinary,O
N,O
-,O
acetyl,O
-,O
beta,O
-,O
D,O
-,O
glucosaminidase,O
(,O
NAG,O
),O
activity,O
might,O
reflect,O
increased,O
lysosomal,O
activity,O
in,O
renal,O
tubular,O
cells,O
.,O
METHODS,O
:,O
Puromycin,B
aminonucleoside,I
(,O
PAN,O
),O
was,O
administered,O
to,O
Sprague,O
Dawley,O
rats,O
to,O
induce,O
proteinuria,B
.,O
Total,O
protein,O
",",O
albumin,O
",",O
NAG,O
activity,O
and,O
protein,O
electrophoretic,O
pattern,O
were,O
assessed,O
in,O
daily,O
urine,O
samples,O
for,O
33,O
days,O
.,O
The,O
morphological,O
appearance,O
of,O
the,O
kidneys,O
was,O
examined,O
on,O
days,O
three,O
",",O
four,O
",",O
six,O
",",O
eight,O
and,O
thirty,O
three,O
and,O
the,O
NAG,O
isoenzyme,O
patterns,O
on,O
days,O
zero,O
",",O
four,O
",",O
eight,O
and,O
thirty,O
three,O
.,O
RESULTS,O
:,O
Following,O
intravenous,O
PAN,B
urine,O
volume,O
and,O
urine,O
NAG,B
activity,I
increased,O
significantly,O
by,O
day,O
two,O
",",O
but,O
returned,O
to,O
normal,O
by,O
day,O
four,O
.,O
After,O
day,O
four,O
all,O
treated,O
animals,O
exhibited,O
a,O
marked,O
rise,O
in,O
urine,O
albumin,B
",",O
total,O
protein,O
excretion,O
and,O
NAG,B
activity,I
.,O
Electrophoresis,O
showed,O
a,O
generalised,O
increase,O
in,O
middle,O
and,O
high,O
molecular,O
weight,O
urine,O
proteins,O
from,O
day,O
four,O
onwards,O
.,O
Protein,O
droplets,O
first,O
appeared,O
prominent,O
in,O
tubular,O
cells,O
on,O
day,O
four,O
.,O
Peak,O
urine,O
NAG,B
activity,O
and,O
a,O
change,O
in,O
NAG,B
isoenzyme,O
pattern,O
coincided,O
with,O
both,O
the,O
peak,O
proteinuria,B
and,O
the,O
reduction,O
in,O
intracellular,O
protein,O
and,O
NAG,B
droplets,O
(,O
day,O
six,O
onwards,O
),O
.,O
CONCLUSIONS,O
:,O
This,O
animal,O
model,O
demonstrates,O
that,O
an,O
increase,O
in,O
lysosomal,O
turnover,O
and,O
hence,O
urine,O
NAG,B
activity,O
",",O
occurs,O
when,O
increased,O
protein,O
is,O
presented,O
to,O
the,O
tubular,O
cells,O
.,O
Urine,O
NAG,O
activity,O
is,O
thus,O
a,O
measure,O
of,O
altered,O
function,O
in,O
the,O
renal,B
tubules,I
and,O
not,O
simply,O
an,O
indicator,O
of,O
damage,O
.,O
Cauda,B
equina,I
syndrome,I
after,O
spinal,O
anaesthesia,O
with,O
hyperbaric,O
5,O
%,O
lignocaine,O
:,O
a,O
review,O
of,O
six,O
cases,O
of,O
cauda,B
equina,I
syndrome,I
reported,O
to,O
the,O
Swedish,O
Pharmaceutical,O
Insurance,O
1993,O
-,O
1997,O
.,O
Six,O
cases,O
of,O
cauda,B
equina,I
syndrome,I
with,O
varying,O
severity,O
were,O
reported,O
to,O
the,O
Swedish,O
Pharmaceutical,O
Insurance,O
during,O
the,O
period,O
1993,O
-,O
1997,O
.,O
All,O
were,O
associated,O
with,O
spinal,O
anaesthesia,O
using,O
hyperbaric,O
5,O
%,O
lignocaine,O
.,O
Five,O
cases,O
had,O
single,O
-,O
shot,O
spinal,O
anaesthesia,O
and,O
one,O
had,O
a,O
repeat,O
spinal,O
anaesthetic,O
due,O
to,O
inadequate,O
block,O
.,O
The,O
dose,O
of,O
hyperbaric,O
5,B
%,I
lignocaine,O
administered,O
ranged,O
from,O
60,B
to,O
120,B
mg,I
.,O
Three,O
of,O
the,O
cases,O
were,O
most,O
likely,O
caused,O
by,O
direct,O
neurotoxicity,B
of,O
hyperbaric,O
5,B
%,I
lignocaine,O
.,O
In,O
the,O
other,O
3,B
cases,O
",",O
direct,O
neurotoxicity,B
was,O
also,O
probable,O
",",O
but,O
unfortunately,O
radiological,O
investigations,O
were,O
not,O
done,O
to,O
definitely,O
exclude,O
a,O
compressive,O
aetiology,O
.,O
All,O
cases,O
sustained,O
permanent,O
neurological,B
deficits,O
.,O
We,O
recommend,O
that,O
hyperbaric,O
lignocaine,O
should,O
be,O
administered,O
in,O
concentrations,O
not,O
greater,O
than,O
2,O
%,O
and,O
at,O
a,O
total,O
dose,O
preferably,O
not,O
exceeding,O
60,O
mg,O
.,O
Systemic,O
toxicity,O
following,O
administration,O
of,O
sirolimus,B
(,O
formerly,O
rapamycin,O
),O
for,O
psoriasis,B
:,O
association,O
of,O
capillary,O
leak,O
syndrome,O
with,O
apoptosis,O
of,O
lesional,O
lymphocytes,O
.,O
BACKGROUND,O
:,O
Sirolimus,O
(,O
formerly,O
rapamycin,O
),O
is,O
an,O
immunosuppressive,O
agent,O
that,O
interferes,O
with,O
T,O
-,O
cell,O
activation,O
.,O
After,O
2,O
individuals,O
with,O
psoriasis,B
developed,O
a,O
capillary,O
leak,O
syndrome,O
following,O
treatment,O
with,O
oral,O
sirolimus,O
lesional,O
skin,O
cells,O
and,O
activated,O
peripheral,O
blood,O
cells,O
were,O
analyzed,O
for,O
induction,O
of,O
apoptosis,O
.,O
OBSERVATIONS,O
:,O
A,O
keratome,O
skin,O
specimen,O
from,O
1,O
patient,O
with,O
sirolimus,B
-,I
induced,I
capillary,I
leak,I
syndrome,I
had,O
a,O
2,O
.,O
3,O
-,O
fold,O
increase,O
in,O
percentage,O
of,O
apoptotic,O
cells,O
(,O
to,O
48,O
%,O
),O
compared,O
with,O
an,O
unaffected,O
sirolimus,B
-,I
treated,I
patient,I
with,I
psoriasis,I
(,O
21,O
%,O
),O
.,O
Activated,O
peripheral,O
blood,O
T,O
cells,O
from,O
patients,O
with,O
psoriasis,B
tended,O
to,O
exhibit,O
greater,O
spontaneous,O
or,O
dexamethasone,O
-,O
induced,O
apoptosis,O
than,O
did,O
normal,O
T,O
cells,O
",",O
particularly,O
in,O
the,O
presence,O
of,O
sirolimus,B
.,O
CONCLUSIONS,O
:,O
Severe,O
adverse,O
effects,O
of,O
sirolimus,O
include,O
fever,B
",",O
anemia,B
",",O
and,O
capillary,B
leak,I
syndrome,I
.,O
These,O
symptoms,O
may,O
be,O
the,O
result,O
of,O
drug,O
-,O
induced,O
apoptosis,O
of,O
lesional,O
leukocytes,O
",",O
especially,O
activated,O
T,O
lymphocytes,O
",",O
and,O
possibly,O
release,O
of,O
inflammatory,O
mediators,O
.,O
Because,O
patients,O
with,O
severe,O
psoriasis,B
may,O
develop,O
capillary,B
leak,I
from,O
various,O
systemic,O
therapies,O
",",O
clinical,O
monitoring,O
is,O
advisable,O
for,O
patients,O
with,O
inflammatory,O
diseases,O
who,O
are,O
treated,O
with,O
immune,O
modulators,O
.,O
Effect,O
of,O
lithium,B
maintenance,I
therapy,I
on,O
thyroid,B
and,O
parathyroid,B
function,O
.,O
OBJECTIVES,O
:,O
To,O
assess,O
changes,O
induced,O
by,O
lithium,B
maintenance,I
therapy,I
on,O
the,O
incidence,O
of,O
thyroid,B
",",O
parathyroid,B
and,O
ion,O
alterations,O
.,O
These,O
were,O
evaluated,O
with,O
respect,O
to,O
the,O
duration,O
of,O
lithium,B
therapy,I
",",O
age,O
",",O
sex,O
",",O
and,O
family,O
history,O
(,O
whether,O
or,O
not,O
the,O
patient,O
had,O
a,O
first,O
-,O
degree,O
relative,O
with,O
thyroid,B
disease,I
),O
.,O
DESIGN,O
:,O
Prospective,O
study,O
.,O
SETTING,O
:,O
Affective,O
Disorders,B
Clinic,I
at,O
St,O
.,O
Mary,O
',O
s,O
Hospital,O
",",O
Montreal,O
.,O
PATIENTS,O
:,O
One,O
hundred,O
and,O
one,O
patients,O
(,O
28,O
men,O
and,O
73,O
women,O
),O
with,O
bipolar,B
disorder,I
receiving,O
lithium,O
maintenance,O
therapy,O
ranging,O
from,O
1,O
year,O
',O
s,O
to,O
32,O
years,O
',O
duration,O
.,O
The,O
control,O
group,O
consisted,O
of,O
82,O
patients,O
with,O
no,O
psychiatric,O
or,O
endocrinological,B
diagnoses,I
from,O
the,O
hospital,O
',O
s,O
out,O
-,O
patient,O
clinics,O
.,O
OUTCOME,O
MEASURES,O
:,O
Laboratory,O
analyses,O
of,O
calcium,O
",",O
magnesium,O
and,O
thyroid,B
-,I
stimulating,I
hormone,I
levels,O
performed,O
before,O
beginning,O
lithium,O
therapy,O
and,O
at,O
biannual,O
follow,O
-,O
up,O
.,O
RESULTS,O
:,O
Hypothyroidism,B
developed,O
in,O
40,O
patients,O
",",O
excluding,O
8,O
patients,O
who,O
were,O
hypothyroid,O
at,O
baseline,O
.,O
All,O
patients,O
having,O
first,O
-,O
degree,O
relatives,O
affected,O
by,O
thyroid,B
illness,O
had,O
accelerated,O
onset,O
of,O
hypothyroidism,O
(,O
3,O
.,O
7,O
years,O
after,O
onset,O
of,O
lithium,B
therapy,O
),O
compared,O
with,O
patients,O
without,O
a,O
family,O
history,O
(,O
8,O
.,O
6,O
years,O
after,O
onset,O
of,O
lithium,B
therapy,O
),O
.,O
Women,O
over,O
60,O
years,O
of,O
age,O
were,O
more,O
often,O
affected,O
by,O
hypothyroidism,B
than,O
women,O
under,O
60,O
years,O
of,O
age,O
(,O
34,O
.,O
6,O
%,O
versus,O
31,O
.,O
9,O
%,O
.,O
Magnesium,B
levels,O
in,O
patients,O
on,O
lithium,B
treatment,O
were,O
unchanged,O
from,O
baseline,O
levels,O
.,O
After,O
lithium,B
treatment,I
",",O
calcium,B
levels,I
were,O
higher,O
than,O
either,O
baseline,O
levels,O
or,O
control,O
levels,O
.,O
Thus,O
",",O
lithium,B
treatment,I
counteracted,O
the,O
decrease,O
in,O
plasma,O
calcium,B
levels,I
associated,O
with,O
aging,O
.,O
CONCLUSIONS,O
:,O
Familial,O
thyroid,B
illness,I
is,O
a,O
risk,O
factor,O
for,O
hypothyroidism,B
and,O
hypercalcemia,B
during,O
lithium,B
therapy,I
.,O
Severe,O
immune,O
hemolytic,B
anemia,I
associated,O
with,O
prophylactic,O
use,O
of,O
cefotetan,O
in,O
obstetric,O
and,O
gynecologic,O
procedures,O
.,O
Second,O
-,O
and,O
third,O
-,O
generation,O
cephalosporins,O
",",O
especially,O
cefotetan,O
",",O
are,O
increasingly,O
associated,O
with,O
severe,O
",",O
sometimes,O
fatal,O
immune,O
hemolytic,B
anemia,I
.,O
We,O
noticed,O
that,O
10,O
of,O
our,O
35,O
cases,O
of,O
cefotetan,O
-,O
induced,O
hemolytic,B
anemias,I
were,O
in,O
patients,O
who,O
had,O
received,O
cefotetan,O
prophylactically,O
for,O
obstetric,O
and,O
gynecologic,O
procedures,O
.,O
Eight,O
of,O
these,O
cases,O
of,O
severe,B
immune,I
hemolytic,I
anemia,I
are,O
described,O
.,O
Effects,O
of,O
nonsteroidal,O
anti,O
-,O
inflammatory,O
drugs,O
on,O
hemostasis,O
in,O
patients,O
with,O
aneurysmal,B
subarachnoid,I
hemorrhage,I
.,O
Platelet,O
function,O
is,O
impaired,O
by,O
nonsteroidal,O
anti,O
-,O
inflammatory,O
drugs,O
(,O
NSAIDs,O
),O
with,O
prominent,O
anti,O
-,O
inflammatory,O
properties,O
.,O
Their,O
safety,O
in,O
patients,O
undergoing,O
intracranial,O
surgery,O
is,O
under,O
debate,O
.,O
Patients,O
with,O
aneurysmal,B
subarachnoid,I
hemorrhage,I
(,O
SAH,B
),O
were,O
randomized,O
to,O
receive,O
either,O
ketoprofen,O
",",O
100,O
mg,O
",",O
three,O
times,O
a,O
day,O
(,O
ketoprofen,O
group,O
",",O
n,O
=,O
9,O
),O
or,O
a,O
weak,O
NSAID,O
",",O
acetaminophen,O
",",O
1,O
g,O
",",O
three,O
times,O
a,O
day,O
(,O
acetaminophen,O
group,O
",",O
n,O
=,O
9,O
),O
starting,O
immediately,O
after,O
the,O
diagnosis,O
of,O
aneurysmal,B
SAH,I
.,O
Treatment,O
was,O
continued,O
for,O
3,O
days,O
postoperatively,O
.,O
Test,O
blood,O
samples,O
were,O
taken,O
before,O
treatment,O
and,O
surgery,O
as,O
well,O
as,O
on,O
the,O
first,O
",",O
third,O
",",O
and,O
fifth,O
postoperative,O
mornings,O
.,O
Maximal,O
platelet,O
aggregation,O
induced,O
by,O
6,O
microM,O
of,O
adenosine,B
diphosphate,I
decreased,O
after,O
administration,O
of,O
ketoprofen,B
.,O
Aggregation,O
was,O
lower,O
(,O
P,O
<,O
.,O
05,O
),O
in,O
the,O
ketoprofen,O
group,O
than,O
in,O
the,O
acetaminophen,B
group,O
just,O
before,O
surgery,O
and,O
on,O
the,O
third,O
postoperative,O
day,O
.,O
In,O
contrast,O
",",O
maximal,O
platelet,O
aggregation,O
increased,O
in,O
the,O
acetaminophen,B
group,O
on,O
the,O
third,O
postoperative,O
day,O
as,O
compared,O
with,O
the,O
pretreatment,O
platelet,O
aggregation,O
results,O
(,O
P,O
<,O
.,O
05,O
),O
.,O
One,O
patient,O
in,O
the,O
ketoprofen,O
group,O
developed,O
a,O
postoperative,O
intracranial,B
hematoma,I
.,O
Coagulation,O
(,O
prothrombin,B
time,I
[,O
PT,B
"],",O
",",O
activated,B
partial,I
thromboplastin,I
time,I
[,O
APPT,B
"],",O
",",O
fibrinogen,B
concentration,I
",",O
and,O
antithrombin,B
III,I
[,O
AT,B
III,I
"],",O
was,O
comparable,O
between,O
the,O
two,O
groups,O
.,O
Ketoprofen,O
but,O
not,O
acetaminophen,O
impaired,O
platelet,B
function,I
in,O
patients,O
with,O
SAH,B
.,O
If,O
ketoprofen,O
is,O
used,O
before,O
surgery,O
on,O
cerebral,B
artery,I
aneurysms,I
",",O
it,O
may,O
pose,O
an,O
additional,O
risk,O
factor,O
for,O
hemorrhage,B
.,O
Nitric,O
oxide,O
synthase,O
expression,O
in,O
the,O
course,O
of,O
lead,O
-,O
induced,O
hypertension,B
.,O
We,O
recently,O
showed,O
elevated,O
reactive,O
oxygen,O
species,O
(,O
ROS,B
),O
",",O
reduced,O
urinary,O
excretion,O
of,O
NO,O
metabolites,O
(,O
NOx,O
),O
",",O
and,O
increased,O
NO,O
sequestration,O
as,O
nitrotyrosine,O
in,O
various,O
tissues,O
in,O
rats,O
with,O
lead,O
-,O
induced,O
hypertension,B
.,O
This,O
study,O
was,O
designed,O
to,O
discern,O
whether,O
the,O
reduction,O
in,O
urinary,O
NOx,B
in,O
lead,O
-,O
induced,O
hypertension,B
is,O
",",O
in,O
part,O
",",O
due,O
to,O
depressed,O
NO,B
synthase,I
(,O
NOS,B
),O
expression,O
.,O
Male,O
Sprague,O
-,O
Dawley,O
rats,O
were,O
randomly,O
assigned,O
to,O
a,O
lead,O
-,O
treated,O
group,O
(,O
given,O
lead,O
acetate,O
",",O
100,O
ppm,O
",",O
in,O
drinking,O
water,O
and,O
regular,O
rat,O
chow,O
),O
",",O
a,O
group,O
given,O
lead,O
and,O
vitamin,O
E,O
-,O
fortified,O
chow,O
",",O
or,O
a,O
normal,O
control,O
group,O
given,O
either,O
regular,O
food,O
and,O
water,O
or,O
vitamin,O
E,O
-,O
fortified,O
food,O
for,O
12,O
weeks,O
.,O
Tail,O
blood,O
pressure,B
",",O
urinary,O
NOx,B
excretion,O
",",O
plasma,O
malondialdehyde,B
(,O
MDA,I
),O
",",O
and,O
endothelial,O
and,O
inducible,O
NOS,O
(,O
eNOS,B
and,O
iNOS,B
),O
isotypes,O
in,O
the,O
aorta,O
and,O
kidney,O
were,O
measured,O
.,O
The,O
lead,O
-,O
treated,O
group,O
exhibited,O
a,O
rise,O
in,O
blood,B
pressure,I
and,O
plasma,O
MDA,B
concentration,O
",",O
a,O
fall,O
in,O
urinary,O
NOx,B
excretion,O
",",O
and,O
a,O
paradoxical,O
rise,O
in,O
vascular,O
and,O
renal,O
tissue,O
eNOS,B
and,O
iNOS,B
expression,O
.,O
Vitamin,O
E,O
supplementation,O
ameliorated,O
hypertension,B
",",O
lowered,O
plasma,O
MDA,B
concentration,O
",",O
and,O
raised,O
urinary,O
NOx,O
excretion,O
while,O
significantly,O
lowering,O
vascular,O
",",O
but,O
not,O
renal,O
",",O
tissue,O
eNOS,B
and,O
iNOS,B
expression,O
.,O
Vitamin,O
E,O
supplementation,O
had,O
no,O
effect,O
on,O
either,O
blood,O
pressure,O
",",O
plasma,O
MDA,B
",",O
or,O
NOS,O
expression,O
in,O
the,O
control,O
group,O
.,O
The,O
study,O
also,O
revealed,O
significant,O
inhibition,O
of,O
NOS,B
enzymatic,I
activity,I
by,O
lead,O
in,O
cell,O
-,O
free,O
preparations,O
.,O
In,O
conclusion,O
",",O
lead,O
-,O
induced,O
hypertension,B
in,O
this,O
model,O
was,O
associated,O
with,O
a,O
compensatory,O
upregulation,O
of,O
renal,B
and,O
vascular,O
eNOS,B
and,O
iNOS,B
expression,O
.,O
This,O
is,O
",",O
in,O
part,O
",",O
due,O
to,O
ROS,B
-,I
mediated,I
NO,I
inactivation,I
",",O
lead,O
-,O
associated,O
inhibition,O
of,O
NOS,B
activity,I
",",O
and,O
perhaps,O
stimulatory,O
actions,O
of,O
increased,O
shear,O
stress,O
associated,O
with,O
hypertension,B
.,O
Glyceryl,O
trinitrate,O
induces,O
attacks,O
of,O
migraine,B
without,I
aura,I
in,O
sufferers,O
of,O
migraine,O
with,O
aura,O
.,O
Migraine,B
with,I
aura,I
and,O
migraine,B
without,I
aura,I
have,O
the,O
same,O
pain,O
phase,O
",",O
thus,O
indicating,O
that,O
migraine,B
with,I
aura,I
and,O
migraine,B
without,I
aura,I
share,O
a,O
common,O
pathway,O
of,O
nociception,O
.,O
In,O
recent,O
years,O
",",O
increasing,O
evidence,O
has,O
suggested,O
that,O
the,O
messenger,O
molecule,O
nitric,O
oxide,O
(,O
NO,O
),O
is,O
involved,O
in,O
pain,O
mechanisms,O
of,O
migraine,B
without,I
aura,I
.,O
In,O
order,O
to,O
clarify,O
whether,O
the,O
same,O
is,O
true,O
for,O
migraine,B
with,I
aura,I
",",O
in,O
the,O
present,O
study,O
we,O
examined,O
the,O
headache,O
response,O
to,O
intravenous,O
infusion,O
of,O
glyceryl,O
trinitrate,O
(,O
GTN,O
),O
(,O
0,O
.,O
5,O
microg,O
/,O
kg,O
/,O
min,O
for,O
20,O
min,O
),O
in,O
12,O
sufferers,O
of,O
migraine,B
with,I
aura,I
.,O
The,O
specific,O
aim,O
was,O
to,O
elucidate,O
whether,O
an,O
aura,B
and,O
/,O
or,O
an,O
attack,O
of,O
migraine,B
without,I
aura,I
could,O
be,O
induced,O
.,O
Fourteen,O
healthy,O
subjects,O
served,O
as,O
controls,O
.,O
Aura,B
symptoms,O
were,O
not,O
elicited,O
in,O
any,O
subject,O
.,O
Headache,B
was,O
more,O
severe,O
in,O
migraineurs,O
than,O
in,O
the,O
controls,O
during,O
and,O
immediately,O
after,O
GTN,O
infusion,O
(,O
p,O
=,O
0,O
.,O
037,O
),O
as,O
well,O
as,O
during,O
the,O
following,O
11,O
h,O
(,O
p,O
=,O
0,O
.,O
